Function ID	Function Description
34006	GO:0071471
34007	GO:0090362
34008	GO:0019249
34009	GO:0014705
34010	GO:0017054
34011	GO:0034683
34012	GO:0098990
34013	GO:0060002
34014	GO:0035507
34015	GO:0035508
34016	GO:0034518
34017	GO:0150107
34018	GO:0060264
34019	GO:0003956
34020	GO:0018120
34021	GO:0106274
34022	GO:0106275
34023	GO:0001714
34024	GO:0036368
34025	GO:0009644
34026	GO:0120199
34027	GO:0000435
34028	GO:0045925
34029	GO:0060713
34030	GO:1904017
34031	GO:2001038
34032	GO:1903006
34033	GO:1990173
34034	GO:0004995
34035	GO:0016496
34036	GO:0043467
34037	GO:0030961
34038	GO:0048621
34039	GO:0062064
34040	GO:0033693
34041	GO:0050982
34042	GO:0004753
34043	GO:0004754
34044	GO:0047130
34045	GO:0047131
34046	GO:0004609
34047	GO:0006114
34048	GO:0047801
34049	GO:1990267
34050	GO:0010585
34051	GO:1903803
34052	GO:0000256
34053	GO:0004037
34054	GO:0046904
34055	GO:0071881
34056	GO:0071882
34057	GO:0008431
34058	GO:0071693
34059	GO:0051621
34060	GO:0051623
34061	GO:0072749
34062	GO:0098871
34063	GO:0097327
34064	GO:0010902
34065	GO:0060229
34066	GO:0034370
34067	GO:0046340
34068	GO:0060695
34069	GO:0003011
34070	GO:1903699
34071	GO:1903709
34072	GO:0042602
34073	GO:0010232
34074	GO:0034634
34075	GO:0099111
34076	GO:1905332
34077	GO:1905772
34078	GO:0032764
34079	GO:0043380
34080	GO:1903464
34081	GO:0047658
34082	GO:1905445
34083	GO:2001019
34084	GO:1990504
34085	GO:0060082
34086	GO:1904510
34087	GO:0004408
34088	GO:0018063
34089	GO:0140608
34090	GO:0140633
34091	GO:0140634
34092	GO:0035500
34093	GO:0061614
34094	GO:0003955
34095	GO:0008753
34096	GO:0016151
34097	GO:0010045
34098	GO:0086018
34099	GO:0086027
34100	GO:0021697
34101	GO:0034352
34102	GO:0035598
34103	GO:0035600
34104	GO:0061712
34105	GO:1990145
34106	GO:0016596
34107	GO:0004123
34108	GO:0018272
34109	GO:0019343
34110	GO:0019346
34111	GO:0044524
34112	GO:0044540
34113	GO:0070814
34114	GO:0080146
34115	GO:0004132
34116	GO:0032814
34117	GO:0106137
34118	GO:0021869
34119	GO:0004345
34120	GO:0047934
34121	GO:0047935
34122	GO:2000064
34123	GO:1902957
34124	GO:0004139
34125	GO:0009264
34126	GO:0046121
34127	GO:1902613
34128	GO:0008216
34129	GO:0034038
34130	GO:0000304
34131	GO:0008617
34132	GO:0046070
34133	GO:0046122
34134	GO:0004148
34135	GO:0009106
34136	GO:0043544
34137	GO:0051068
34138	GO:1903286
34139	GO:1903760
34140	GO:1903764
34141	GO:0019402
34142	GO:0061623
34143	GO:0005310
34144	GO:0006835
34145	GO:0018455
34146	GO:2000182
34147	GO:0042595
34148	GO:0000721
34149	GO:0003939
34150	GO:0006062
34151	GO:0046526
34152	GO:0050255
34153	GO:0051160
34154	GO:0051164
34155	GO:0019081
34156	GO:0039520
34157	GO:0071264
34158	GO:0140469
34159	GO:0098810
34160	GO:0032416
34161	GO:0003199
34162	GO:0004174
34163	GO:0043783
34164	GO:0030327
34165	GO:0043516
34166	GO:0043979
34167	GO:0070302
34168	GO:1903463
34169	GO:1990164
34170	GO:2000618
34171	GO:2000730
34172	GO:2000751
34173	GO:0034899
34174	GO:1904188
34175	GO:0004365
34176	GO:0003150
34177	GO:2001226
34178	GO:1903900
34179	GO:0002578
34180	GO:0002645
34181	GO:0002666
34182	GO:0002767
34183	GO:0023025
34184	GO:0032396
34185	GO:0140105
34186	GO:1905875
34187	GO:2000524
34188	GO:0047865
34189	GO:0015367
34190	GO:0002188
34191	GO:0060682
34192	GO:0043413
34193	GO:0008424
34194	GO:0033578
34195	GO:0043112
34196	GO:0046368
34197	GO:0046921
34198	GO:0004963
34199	GO:1905224
34200	GO:0004820
34201	GO:0006426
34202	GO:0070150
34203	GO:0015054
34204	GO:0031741
34205	GO:0048732
34206	GO:0021508
34207	GO:0035295
34208	GO:0034722
34209	GO:0046900
34210	GO:0070500
34211	GO:0120114
34212	GO:0019969
34213	GO:0004921
34214	GO:0019970
34215	GO:0014741
34216	GO:2000818
34217	GO:0038155
34218	GO:0042022
34219	GO:0072536
34220	GO:0010610
34221	GO:0022013
34222	GO:0010509
34223	GO:0071846
34224	GO:0004905
34225	GO:0019962
34226	GO:1903226
34227	GO:1904815
34228	GO:0004367
34229	GO:0004368
34230	GO:0006127
34231	GO:0009331
34232	GO:0046168
34233	GO:0030250
34234	GO:0051545
34235	GO:0003860
34236	GO:0004396
34237	GO:0098542
34238	GO:0004697
34239	GO:0004698
34240	GO:0004692
34241	GO:0046146
34242	GO:0120259
34243	GO:1990438
34244	GO:0048030
34245	GO:0070241
34246	GO:1903614
34247	GO:2000521
34248	GO:2001189
34249	GO:0033036
34250	GO:0045919
34251	GO:0004964
34252	GO:0035472
34253	GO:0038106
34254	GO:0090343
34255	GO:1990683
34256	GO:0002329
34257	GO:0032034
34258	GO:0038127
34259	GO:1903730
34260	GO:0034373
34261	GO:0051641
34262	GO:0098743
34263	GO:0021526
34264	GO:0030273
34265	GO:0016080
34266	GO:0048789
34267	GO:0097115
34268	GO:0098698
34269	GO:1905520
34270	GO:1905492
34271	GO:1990451
34272	GO:0004308
34273	GO:0006689
34274	GO:0016997
34275	GO:0052794
34276	GO:0052795
34277	GO:0052796
34278	GO:0000293
34279	GO:0043012
34280	GO:0019866
34281	GO:0070037
34282	GO:0048243
34283	GO:0000224
34284	GO:0110050
34285	GO:0021897
34286	GO:0045685
34287	GO:0006528
34288	GO:0050152
34289	GO:0106008
34290	GO:0005690
34291	GO:0034512
34292	GO:0009595
34293	GO:0022849
34294	GO:1905064
34295	GO:0002085
34296	GO:0010085
34297	GO:0010721
34298	GO:0033505
34299	GO:0048327
34300	GO:0060460
34301	GO:0060802
34302	GO:0090010
34303	GO:0070255
34304	GO:0099160
34305	GO:0019747
34306	GO:0051977
34307	GO:0051978
34308	GO:0140329
34309	GO:0140348
34310	GO:0150175
34311	GO:0150178
34312	GO:0021740
34313	GO:0061141
34314	GO:2000791
34315	GO:2000795
34316	GO:0051664
34317	GO:0070762
34318	GO:0071501
34319	GO:0002761
34320	GO:0045619
34321	GO:0150116
34322	GO:0001607
34323	GO:0042924
34324	GO:0050793
34325	GO:0003326
34326	GO:0003329
34327	GO:0060730
34328	GO:0006769
34329	GO:0008112
34330	GO:0010967
34331	GO:0030760
34332	GO:0031710
34333	GO:0003420
34334	GO:0008941
34335	GO:0043602
34336	GO:0046210
34337	GO:0047726
34338	GO:0090031
34339	GO:0090346
34340	GO:0047453
34341	GO:0052855
34342	GO:0110051
34343	GO:0042165
34344	GO:0030844
34345	GO:0042269
34346	GO:0060668
34347	GO:0031855
34348	GO:0060450
34349	GO:0008297
34350	GO:0044284
34351	GO:0098547
34352	GO:1903533
34353	GO:0032156
34354	GO:1990876
34355	GO:0035822
34356	GO:0060382
34357	GO:1990968
34358	GO:1990969
34359	GO:0005008
34360	GO:0070495
34361	GO:0042749
34362	GO:0061889
34363	GO:1905188
34364	GO:0008454
34365	GO:0000298
34366	GO:0008486
34367	GO:0034431
34368	GO:0034432
34369	GO:0052840
34370	GO:0052842
34371	GO:0071543
34372	GO:1901907
34373	GO:1901909
34374	GO:1901911
34375	GO:0032369
34376	GO:0090187
34377	GO:0090340
34378	GO:0032458
34379	GO:0016073
34380	GO:0040031
34381	GO:1990276
34382	GO:0014010
34383	GO:0006797
34384	GO:0030351
34385	GO:0034417
34386	GO:0052745
34387	GO:0052826
34388	GO:0016028
34389	GO:0017090
34390	GO:1902349
34391	GO:1990595
34392	GO:0008113
34393	GO:0036456
34394	GO:0090096
34395	GO:0018003
34396	GO:0047198
34397	GO:0004042
34398	GO:0103045
34399	GO:0017018
34400	GO:0002395
34401	GO:1900229
34402	GO:0031511
34403	GO:1990108
34404	GO:0002518
34405	GO:0002920
34406	GO:0031724
34407	GO:0035768
34408	GO:2000545
34409	GO:0099550
34410	GO:0002144
34411	GO:0034763
34412	GO:0016896
34413	GO:0021814
34414	GO:1905259
34415	GO:0009923
34416	GO:0050062
34417	GO:0102339
34418	GO:0102340
34419	GO:0102341
34420	GO:0102342
34421	GO:0006740
34422	GO:0010734
34423	GO:0046390
34424	GO:0031763
34425	GO:0031764
34426	GO:0031943
34427	GO:0050672
34428	GO:1901534
34429	GO:1902064
34430	GO:0005726
34431	GO:0033679
34432	GO:0039695
34433	GO:0046833
34434	GO:0070922
34435	GO:1904973
34436	GO:1905698
34437	GO:1990518
34438	GO:0043890
34439	GO:0071926
34440	GO:0042666
34441	GO:0071307
34442	GO:1900142
34443	GO:2000533
34444	GO:0035976
34445	GO:0005457
34446	GO:0036085
34447	GO:0021767
34448	GO:0021855
34449	GO:0061374
34450	GO:0061377
34451	GO:0061381
34452	GO:0072010
34453	GO:1902038
34454	GO:1902257
34455	GO:0060678
34456	GO:0072076
34457	GO:0072210
34458	GO:0072213
34459	GO:0072267
34460	GO:2001111
34461	GO:0002508
34462	GO:0002635
34463	GO:0002897
34464	GO:0035089
34465	GO:0072016
34466	GO:1901248
34467	GO:0004333
34468	GO:0006106
34469	GO:0045239
34470	GO:0002360
34471	GO:0097535
34472	GO:0032745
34473	GO:0045655
34474	GO:1900424
34475	GO:1901256
34476	GO:0003147
34477	GO:0003253
34478	GO:0061714
34479	GO:0071231
34480	GO:0021757
34481	GO:0021758
34482	GO:0098582
34483	GO:0061851
34484	GO:1903996
34485	GO:1902310
34486	GO:0043105
34487	GO:0044549
34488	GO:0019103
34489	GO:0006286
34490	GO:0061673
34491	GO:0014004
34492	GO:0033561
34493	GO:1901805
34494	GO:1904457
34495	GO:1905165
34496	GO:0006045
34497	GO:0008761
34498	GO:0009384
34499	GO:0014889
34500	GO:0015067
34501	GO:0015068
34502	GO:1903569
34503	GO:0030128
34504	GO:1904431
34505	GO:1902251
34506	GO:1904733
34507	GO:1904736
34508	GO:0007638
34509	GO:0003919
34510	GO:0006747
34511	GO:0030284
34512	GO:0034056
34513	GO:0001966
34514	GO:0002209
34515	GO:0036268
34516	GO:0061920
34517	GO:0061921
34518	GO:0097043
34519	GO:0106226
34520	GO:0120301
34521	GO:0140065
34522	GO:0140066
34523	GO:0140067
34524	GO:0140068
34525	GO:0140069
34526	GO:0004312
34527	GO:0010945
34528	GO:0036115
34529	GO:0098937
34530	GO:0070349
34531	GO:0060964
34532	GO:1901254
34533	GO:1902373
34534	GO:0008078
34535	GO:0021543
34536	GO:0035602
34537	GO:0035603
34538	GO:0035604
34539	GO:0035607
34540	GO:0060512
34541	GO:0060529
34542	GO:0060601
34543	GO:0055014
34544	GO:0000963
34545	GO:0030221
34546	GO:0030222
34547	GO:0090301
34548	GO:2000314
34549	GO:0031821
34550	GO:0004968
34551	GO:1905475
34552	GO:1904482
34553	GO:0047066
34554	GO:1902905
34555	GO:0052591
34556	GO:0047946
34557	GO:0006193
34558	GO:0009204
34559	GO:0035870
34560	GO:0008892
34561	GO:0046098
34562	GO:0030249
34563	GO:0031284
34564	GO:0150007
34565	GO:0003984
34566	GO:0005948
34567	GO:0004447
34568	GO:0140616
34569	GO:0010905
34570	GO:0071879
34571	GO:0106071
34572	GO:1904227
34573	GO:2000077
34574	GO:0106027
34575	GO:0150101
34576	GO:1901984
34577	GO:1904886
34578	GO:0071440
34579	GO:0005020
34580	GO:0070662
34581	GO:0097326
34582	GO:0120072
34583	GO:1904343
34584	GO:1905065
34585	GO:0002159
34586	GO:0035403
34587	GO:0035408
34588	GO:0035866
34589	GO:0089700
34590	GO:0072102
34591	GO:0002072
34592	GO:0021768
34593	GO:0002540
34594	GO:0004051
34595	GO:0009855
34596	GO:0090242
34597	GO:0047886
34598	GO:0036131
34599	GO:0043170
34600	GO:0045703
34601	GO:0047787
34602	GO:0071384
34603	GO:2000224
34604	GO:0036090
34605	GO:0030573
34606	GO:0019807
34607	GO:0050479
34608	GO:0036344
34609	GO:0071678
34610	GO:0004578
34611	GO:0052925
34612	GO:0051089
34613	GO:0031700
34614	GO:0004941
34615	GO:0061885
34616	GO:1904504
34617	GO:1990911
34618	GO:0060598
34619	GO:0099012
34620	GO:0055103
34621	GO:1990092
34622	GO:0004723
34623	GO:0005955
34624	GO:0036284
34625	GO:0045137
34626	GO:0098845
34627	GO:0110077
34628	GO:1903564
34629	GO:0097275
34630	GO:0097276
34631	GO:0097277
34632	GO:0002038
34633	GO:0098894
34634	GO:0120317
34635	GO:0060697
34636	GO:0021919
34637	GO:0034358
34638	GO:0051054
34639	GO:1901346
34640	GO:2000446
34641	GO:0010638
34642	GO:0050928
34643	GO:0021831
34644	GO:0072148
34645	GO:0060187
34646	GO:0062098
34647	GO:0015417
34648	GO:0030003
34649	GO:0097734
34650	GO:1902047
34651	GO:1903710
34652	GO:1990938
34653	GO:2000152
34654	GO:1903926
34655	GO:0090035
34656	GO:0048291
34657	GO:0071866
34658	GO:0050783
34659	GO:0071163
34660	GO:1902426
34661	GO:1902595
34662	GO:1905341
34663	GO:2000105
34664	GO:0000246
34665	GO:0050614
34666	GO:0071575
34667	GO:1990755
34668	GO:0046633
34669	GO:0035879
34670	GO:0031752
34671	GO:1902773
34672	GO:0004356
34673	GO:0006542
34674	GO:0019676
34675	GO:0008794
34676	GO:0004343
34677	GO:1904816
34678	GO:0017174
34679	GO:0046498
34680	GO:1901052
34681	GO:0016287
34682	GO:0060280
34683	GO:0004342
34684	GO:0006043
34685	GO:0017089
34686	GO:0016256
34687	GO:0046316
34688	GO:1902204
34689	GO:0000210
34690	GO:0048640
34691	GO:1902178
34692	GO:1905793
34693	GO:0102158
34694	GO:0102343
34695	GO:0102344
34696	GO:0102345
34697	GO:0003357
34698	GO:0061325
34699	GO:2000763
34700	GO:2000764
34701	GO:0004411
34702	GO:0006591
34703	GO:0060398
34704	GO:0042827
34705	GO:0048075
34706	GO:1904586
34707	GO:1905663
34708	GO:1990828
34709	GO:0001532
34710	GO:0021546
34711	GO:0005135
34712	GO:0030526
34713	GO:0038043
34714	GO:0004567
34715	GO:0018395
34716	GO:0033746
34717	GO:0033749
34718	GO:0070078
34719	GO:0070079
34720	GO:0070815
34721	GO:0055024
34722	GO:0090138
34723	GO:0097530
34724	GO:0045123
34725	GO:0008254
34726	GO:0097657
34727	GO:0034665
34728	GO:0004800
34729	GO:0048561
34730	GO:0031281
34731	GO:0090170
34732	GO:2000657
34733	GO:0003185
34734	GO:0003211
34735	GO:0072160
34736	GO:2001013
34737	GO:0014841
34738	GO:0014901
34739	GO:0006666
34740	GO:0047560
34741	GO:0004061
34742	GO:0043997
34743	GO:0061035
34744	GO:0106078
34745	GO:0106227
34746	GO:0106229
34747	GO:1901979
34748	GO:1902159
34749	GO:0046831
34750	GO:0070618
34751	GO:0061912
34752	GO:1990031
34753	GO:0006862
34754	GO:0000235
34755	GO:0030034
34756	GO:0002302
34757	GO:1904019
34758	GO:0046130
34759	GO:0071036
34760	GO:0071037
34761	GO:0071039
34762	GO:0071040
34763	GO:0071048
34764	GO:0003412
34765	GO:0008466
34766	GO:0102751
34767	GO:0002787
34768	GO:1902572
34769	GO:0061444
34770	GO:1903965
34771	GO:0035299
34772	GO:0051612
34773	GO:0004910
34774	GO:0034678
34775	GO:0071529
34776	GO:0080023
34777	GO:0016830
34778	GO:0097089
34779	GO:0106360
34780	GO:0106376
34781	GO:1903512
34782	GO:0003144
34783	GO:0033342
34784	GO:0002652
34785	GO:0032712
34786	GO:0071656
34787	GO:0098575
34788	GO:1902904
34789	GO:1904589
34790	GO:1904764
34791	GO:1990832
34792	GO:1990833
34793	GO:0004045
34794	GO:0016150
34795	GO:0004904
34796	GO:0042015
34797	GO:0045515
34798	GO:0045518
34799	GO:0030380
34800	GO:0033256
34801	GO:0047931
34802	GO:1903817
34803	GO:0031275
34804	GO:0015467
34805	GO:0086089
34806	GO:0098914
34807	GO:0099625
34808	GO:0097213
34809	GO:0005252
34810	GO:0031780
34811	GO:0031783
34812	GO:0106070
34813	GO:0008650
34814	GO:0032453
34815	GO:0097226
34816	GO:0099039
34817	GO:1905039
34818	GO:0071617
34819	GO:0042285
34820	GO:0070730
34821	GO:0070731
34822	GO:1901185
34823	GO:0090730
34824	GO:0016500
34825	GO:1902045
34826	GO:0035538
34827	GO:0005715
34828	GO:0032137
34829	GO:0032389
34830	GO:0043060
34831	GO:0051257
34832	GO:0045016
34833	GO:0071864
34834	GO:0005608
34835	GO:0048677
34836	GO:0072249
34837	GO:0072274
34838	GO:0044089
34839	GO:1990666
34840	GO:0048569
34841	GO:2000576
34842	GO:0071209
34843	GO:0009931
34844	GO:2000312
34845	GO:0003908
34846	GO:0004478
34847	GO:0006556
34848	GO:0009087
34849	GO:0048269
34850	GO:0060051
34851	GO:0032810
34852	GO:0090341
34853	GO:0006742
34854	GO:0019677
34855	GO:0110153
34856	GO:0110156
34857	GO:0015961
34858	GO:0071544
34859	GO:0110154
34860	GO:0001080
34861	GO:0034255
34862	GO:0038185
34863	GO:1902122
34864	GO:1905695
34865	GO:2000213
34866	GO:0019935
34867	GO:0006753
34868	GO:0008768
34869	GO:0009191
34870	GO:0019144
34871	GO:0019303
34872	GO:0044715
34873	GO:0044716
34874	GO:0055086
34875	GO:0006203
34876	GO:1901292
34877	GO:0060027
34878	GO:0016077
34879	GO:0035863
34880	GO:0046709
34881	GO:0097383
34882	GO:1901640
34883	GO:1901641
34884	GO:0036077
34885	GO:0033002
34886	GO:0019516
34887	GO:0004573
34888	GO:0015926
34889	GO:0002204
34890	GO:0032301
34891	GO:0001560
34892	GO:0043954
34893	GO:0051152
34894	GO:1900239
34895	GO:2000721
34896	GO:2000724
34897	GO:2001015
34898	GO:0044611
34899	GO:0033192
34900	GO:0090126
34901	GO:0097117
34902	GO:0032071
34903	GO:0060699
34904	GO:0060735
34905	GO:1902629
34906	GO:0015136
34907	GO:0015739
34908	GO:0005147
34909	GO:0035339
34910	GO:0001626
34911	GO:0090290
34912	GO:0017168
34913	GO:1904247
34914	GO:2001165
34915	GO:1990448
34916	GO:0048219
34917	GO:0004087
34918	GO:0004088
34919	GO:0019240
34920	GO:0055081
34921	GO:0070409
34922	GO:0072563
34923	GO:0007624
34924	GO:0071506
34925	GO:0072110
34926	GO:0072303
34927	GO:0098759
34928	GO:0071540
34929	GO:0106261
34930	GO:0007622
34931	GO:0021659
34932	GO:0021660
34933	GO:0021665
34934	GO:0021666
34935	GO:0035284
34936	GO:0009403
34937	GO:0018894
34938	GO:1903977
34939	GO:0090177
34940	GO:0000717
34941	GO:0045951
34942	GO:0042988
34943	GO:0099065
34944	GO:0018773
34945	GO:0034545
34946	GO:0047621
34947	GO:0001811
34948	GO:0001814
34949	GO:0002266
34950	GO:0002436
34951	GO:0002622
34952	GO:0002865
34953	GO:0019772
34954	GO:0090264
34955	GO:0072377
34956	GO:2000261
34957	GO:0044726
34958	GO:0001866
34959	GO:0031247
34960	GO:0000112
34961	GO:0060803
34962	GO:0090282
34963	GO:0051908
34964	GO:0045634
34965	GO:1902225
34966	GO:0047820
34967	GO:0002312
34968	GO:0036145
34969	GO:2000458
34970	GO:0032686
34971	GO:0046789
34972	GO:0031291
34973	GO:0097575
34974	GO:0010933
34975	GO:0043244
34976	GO:0042720
34977	GO:0002695
34978	GO:0010948
34979	GO:0030264
34980	GO:0061300
34981	GO:0004441
34982	GO:0033798
34983	GO:0042404
34984	GO:0097474
34985	GO:0034674
34986	GO:0004416
34987	GO:0019243
34988	GO:0003921
34989	GO:0003922
34990	GO:0008891
34991	GO:0046296
34992	GO:0001698
34993	GO:0035934
34994	GO:0060453
34995	GO:1990794
34996	GO:0021633
34997	GO:0045188
34998	GO:0000022
34999	GO:0046603
35000	GO:0086050
35001	GO:0086052
35002	GO:0086087
35003	GO:0086090
35004	GO:0033184
35005	GO:0061752
35006	GO:0097332
35007	GO:0034649
35008	GO:0021592
35009	GO:0021993
35010	GO:2000671
35011	GO:0046293
35012	GO:0016939
35013	GO:0005250
35014	GO:0050683
35015	GO:0008049
35016	GO:0036403
35017	GO:0106014
35018	GO:1901753
35019	GO:2001301
35020	GO:0004419
35021	GO:0001705
35022	GO:0035847
35023	GO:0035849
35024	GO:0035852
35025	GO:0072077
35026	GO:0072224
35027	GO:0072283
35028	GO:0097379
35029	GO:2000744
35030	GO:0045584
35031	GO:0098752
35032	GO:0045517
35033	GO:0002384
35034	GO:0004915
35035	GO:0005896
35036	GO:0019981
35037	GO:0070119
35038	GO:0023051
35039	GO:0004587
35040	GO:0010121
35041	GO:0019544
35042	GO:0050155
35043	GO:0055129
35044	GO:0045299
35045	GO:1903093
35046	GO:0005968
35047	GO:2000420
35048	GO:0016859
35049	GO:0010920
35050	GO:0010925
35051	GO:0030845
35052	GO:0060305
35053	GO:0071757
35054	GO:0003880
35055	GO:0004671
35056	GO:0006481
35057	GO:0061031
35058	GO:0046490
35059	GO:0030294
35060	GO:0008811
35061	GO:0045343
35062	GO:0036335
35063	GO:1901310
35064	GO:0003429
35065	GO:0047860
35066	GO:0090500
35067	GO:0001595
35068	GO:1905775
35069	GO:0030849
35070	GO:0048270
35071	GO:0000994
35072	GO:0001002
35073	GO:0001003
35074	GO:0034645
35075	GO:0004423
35076	GO:0009441
35077	GO:0014896
35078	GO:0060283
35079	GO:1904075
35080	GO:0005898
35081	GO:0004917
35082	GO:0021572
35083	GO:0021599
35084	GO:0003957
35085	GO:0008746
35086	GO:1903285
35087	GO:0046865
35088	GO:1901529
35089	GO:0004705
35090	GO:0031343
35091	GO:0034635
35092	GO:0071449
35093	GO:0000414
35094	GO:0014860
35095	GO:0000252
35096	GO:0047012
35097	GO:0102175
35098	GO:0103066
35099	GO:0103067
35100	GO:0034640
35101	GO:0062156
35102	GO:0044026
35103	GO:2000143
35104	GO:0004792
35105	GO:0042292
35106	GO:0061604
35107	GO:0061605
35108	GO:0070899
35109	GO:0008456
35110	GO:0003032
35111	GO:0034642
35112	GO:0043417
35113	GO:0045819
35114	GO:0034039
35115	GO:0035485
35116	GO:1902108
35117	GO:0045210
35118	GO:0005846
35119	GO:1905216
35120	GO:0006408
35121	GO:0016715
35122	GO:1900408
35123	GO:0051391
35124	GO:0106162
35125	GO:1904812
35126	GO:1990883
35127	GO:0019918
35128	GO:0010768
35129	GO:0044111
35130	GO:0046824
35131	GO:0032116
35132	GO:0061010
35133	GO:0071921
35134	GO:0090694
35135	GO:1905406
35136	GO:0045183
35137	GO:0019178
35138	GO:0102757
35139	GO:0004517
35140	GO:0014806
35141	GO:0046870
35142	GO:0000810
35143	GO:0018964
35144	GO:1905429
35145	GO:0071665
35146	GO:1905174
35147	GO:0046449
35148	GO:0061837
35149	GO:0070012
35150	GO:0060053
35151	GO:0035407
35152	GO:0016501
35153	GO:1905183
35154	GO:0071561
35155	GO:0005944
35156	GO:0046934
35157	GO:0021985
35158	GO:0048878
35159	GO:0072218
35160	GO:0072227
35161	GO:0072233
35162	GO:0072240
35163	GO:0016309
35164	GO:0090119
35165	GO:0090217
35166	GO:1902635
35167	GO:0035304
35168	GO:0021986
35169	GO:0051355
35170	GO:2001208
35171	GO:0071453
35172	GO:1902870
35173	GO:0046786
35174	GO:0008127
35175	GO:0060795
35176	GO:0090081
35177	GO:0090308
35178	GO:0036496
35179	GO:0050115
35180	GO:0052812
35181	GO:0061956
35182	GO:0009893
35183	GO:0016254
35184	GO:0004376
35185	GO:0097502
35186	GO:0060127
35187	GO:0051377
35188	GO:0014014
35189	GO:1904935
35190	GO:1990792
35191	GO:0016780
35192	GO:0051267
35193	GO:0000225
35194	GO:0051751
35195	GO:1990529
35196	GO:0034584
35197	GO:0021642
35198	GO:0021703
35199	GO:0043576
35200	GO:0021723
35201	GO:0021934
35202	GO:0048486
35203	GO:0048894
35204	GO:0061452
35205	GO:0008418
35206	GO:0070773
35207	GO:0008508
35208	GO:0044717
35209	GO:0046057
35210	GO:0046067
35211	GO:0015086
35212	GO:0015087
35213	GO:0015093
35214	GO:0015094
35215	GO:0015099
35216	GO:0015100
35217	GO:0015675
35218	GO:0015676
35219	GO:0015692
35220	GO:0046915
35221	GO:0070826
35222	GO:0050262
35223	GO:0061769
35224	GO:0005030
35225	GO:0019056
35226	GO:2000479
35227	GO:0004742
35228	GO:0005967
35229	GO:0060118
35230	GO:0005234
35231	GO:0120169
35232	GO:0110076
35233	GO:0008465
35234	GO:0016618
35235	GO:0030267
35236	GO:0046487
35237	GO:0007028
35238	GO:1905152
35239	GO:0000417
35240	GO:0097108
35241	GO:0002626
35242	GO:0010106
35243	GO:1904283
35244	GO:2001186
35245	GO:0043530
35246	GO:0015019
35247	GO:0061474
35248	GO:0009789
35249	GO:0001099
35250	GO:0035565
35251	GO:0039020
35252	GO:0045062
35253	GO:1904100
35254	GO:0001808
