	ID_Geneontology_molecularfunction__	Gene ontology (molecular function)
8358	DNA-binding transcription factor binding [GO:0140297]; histone deacetylase activity [GO:0004407]; histone deacetylase binding [GO:0042826]; identical protein binding [GO:0042802]; NAD-dependent histone deacetylase activity (H3-K14 specific) [GO:0032041]; potassium ion binding [GO:0030955]; promoter-specific chromatin binding [GO:1990841]; protein deacetylase activity [GO:0033558]; protein kinase binding [GO:0019901]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II-specific DNA-binding transcription factor binding [GO:0061629]; SUMO transferase activity [GO:0019789]; transcription corepressor activity [GO:0003714]; transcription factor binding [GO:0008134]; zinc ion binding [GO:0008270]	8358
8359	5'-deoxynucleotidase activity [GO:0002953]; metal ion binding [GO:0046872]	8359
8360	actin binding [GO:0003779]; alpha-tubulin binding [GO:0043014]; beta-catenin binding [GO:0008013]; beta-tubulin binding [GO:0048487]; dynein complex binding [GO:0070840]; enzyme binding [GO:0019899]; histone deacetylase activity [GO:0004407]; histone deacetylase binding [GO:0042826]; Hsp90 protein binding [GO:0051879]; microtubule binding [GO:0008017]; misfolded protein binding [GO:0051787]; NAD-dependent histone deacetylase activity (H3-K14 specific) [GO:0032041]; polyubiquitin modification-dependent protein binding [GO:0031593]; protein deacetylase activity [GO:0033558]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; tau protein binding [GO:0048156]; transcription corepressor binding [GO:0001222]; tubulin deacetylase activity [GO:0042903]; ubiquitin binding [GO:0043130]; ubiquitin protein ligase binding [GO:0031625]; zinc ion binding [GO:0008270]	8360
8361	receptor tyrosine kinase binding [GO:0030971]; serine-type endopeptidase activity [GO:0004252]	8361
8362	chromatin DNA binding [GO:0031490]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; heat shock protein binding [GO:0031072]; Hsp90 protein binding [GO:0051879]; identical protein binding [GO:0042802]; promoter-specific chromatin binding [GO:1990841]; protein heterodimerization activity [GO:0046982]; protein kinase binding [GO:0019901]; protein self-association [GO:0043621]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II intronic transcription regulatory region sequence-specific DNA binding [GO:0001162]; sequence-specific DNA binding [GO:0043565]; sequence-specific double-stranded DNA binding [GO:1990837]; sequence-specific single stranded DNA binding [GO:0098847]; STAT family protein binding [GO:0097677]; transcription cis-regulatory region binding [GO:0000976]; translation elongation factor binding [GO:0061770]	8362
8363	transcription corepressor activity [GO:0003714]; zinc ion binding [GO:0008270]	8363
8364	copper ion binding [GO:0005507]; ferroxidase activity [GO:0004322]; oxidoreductase activity [GO:0016491]	8364
8365	guanine phosphoribosyltransferase activity [GO:0052657]; hypoxanthine phosphoribosyltransferase activity [GO:0004422]; identical protein binding [GO:0042802]; magnesium ion binding [GO:0000287]; nucleotide binding [GO:0000166]	8365
8366	beta-glucuronidase activity [GO:0004566]; heparanase activity [GO:0030305]; syndecan binding [GO:0045545]	8366
8367	lactoylglutathione lyase activity [GO:0004462]; zinc ion binding [GO:0008270]	8367
8368	4 iron, 4 sulfur cluster binding [GO:0051539]; lipoate synthase activity [GO:0016992]; lipoyl synthase activity (acting on glycine-cleavage complex H protein [GO:0102552]; lipoyl synthase activity (acting on pyruvate dehydrogenase E2 protein) [GO:0102553]; metal ion binding [GO:0046872]	8368
8369	isocitrate dehydrogenase (NAD+) activity [GO:0004449]; magnesium ion binding [GO:0000287]; NAD binding [GO:0051287]	8369
8370	actin binding [GO:0003779]; actin filament binding [GO:0051015]; cadherin binding [GO:0045296]; calcium ion binding [GO:0005509]; microtubule minus-end binding [GO:0051011]; RNA binding [GO:0003723]; structural molecule activity [GO:0005198]	8370
8371	identical protein binding [GO:0042802]; protein kinase inhibitor activity [GO:0004860]	8371
8372	chromatin binding [GO:0003682]; DNA binding [GO:0003677]; double-stranded methylated DNA binding [GO:0010385]; methyl-CpG binding [GO:0008327]; unmethylated CpG binding [GO:0045322]; zinc ion binding [GO:0008270]	8372
8373	cytokine activity [GO:0005125]; growth factor activity [GO:0008083]; interleukin-11 receptor binding [GO:0005142]	8373
8374	signaling receptor binding [GO:0005102]; structural molecule activity [GO:0005198]	8374
8375	ATP binding [GO:0005524]; JUN kinase kinase kinase activity [GO:0004706]; MAP kinase kinase activity [GO:0004708]; protein homodimerization activity [GO:0042803]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]	8375
8376	cytidylyltransferase activity [GO:0070567]; D-ribitol-5-phosphate cytidylyltransferase activity [GO:0047349]; protein homodimerization activity [GO:0042803]	8376
8377	GTPase binding [GO:0051020]; ubiquitin protein ligase activity [GO:0061630]; zinc ion binding [GO:0008270]	8377
8378	enzyme binding [GO:0019899]; ubiquitin conjugating enzyme binding [GO:0031624]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]; ubiquitin-specific protease binding [GO:1990381]; zinc ion binding [GO:0008270]	8378
8379	hormone activity [GO:0005179]; identical protein binding [GO:0042802]; insulin-like growth factor receptor binding [GO:0005159]; insulin receptor binding [GO:0005158]; protease binding [GO:0002020]	8379
8380	2 iron, 2 sulfur cluster binding [GO:0051537]; 4 iron, 4 sulfur cluster binding [GO:0051539]; ferrous iron binding [GO:0008198]; iron ion binding [GO:0005506]; molecular adaptor activity [GO:0060090]	8380
8381	structural constituent of muscle [GO:0008307]	8381
8382	metal ion binding [GO:0046872]; methylated histone binding [GO:0035064]; transcription coactivator activity [GO:0003713]	8382
8383	DNA binding [GO:0003677]; identical protein binding [GO:0042802]; IMP dehydrogenase activity [GO:0003938]; metal ion binding [GO:0046872]; nucleic acid binding [GO:0003676]; nucleotide binding [GO:0000166]; RNA binding [GO:0003723]	8383
8384	transferase activity [GO:0016740]; zinc ion binding [GO:0008270]	8384
8385	arachidonate 12(R)-lipoxygenase activity [GO:0106237]; arachidonate 12(S)-lipoxygenase activity [GO:0004052]; arachidonate 8(R)-lipoxygenase activity [GO:0047677]; iron ion binding [GO:0005506]; isomerase activity [GO:0016853]; linoleate 9S-lipoxygenase activity [GO:1990136]; lyase activity [GO:0016829]; oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen [GO:0016702]	8385
8386	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0140603]; magnesium ion binding [GO:0000287]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]	8386
8387	cadherin binding [GO:0045296]; signaling receptor activity [GO:0038023]; virus receptor activity [GO:0001618]	8387
8388	ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; phosphatidic acid binding [GO:0070300]; phosphatidylinositol-4,5-bisphosphate binding [GO:0005546]; phosphatidylserine binding [GO:0001786]; protein serine/threonine kinase activity [GO:0004674]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]; tau protein binding [GO:0048156]; tau-protein kinase activity [GO:0050321]	8388
8389	arachidonate 15-lipoxygenase activity [GO:0050473]; arachidonate 8(S)-lipoxygenase activity [GO:0036403]; calcium ion binding [GO:0005509]; iron ion binding [GO:0005506]; linoleate 13S-lipoxygenase activity [GO:0016165]; linoleate 9S-lipoxygenase activity [GO:1990136]; lipid binding [GO:0008289]; oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen [GO:0016702]	8389
8390	ATP binding [GO:0005524]; cadherin binding [GO:0045296]; lipid binding [GO:0008289]; magnesium ion binding [GO:0000287]; protein kinase activator activity [GO:0030295]; protein serine/threonine kinase activity [GO:0004674]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]; RNA binding [GO:0003723]; tau protein binding [GO:0048156]; tau-protein kinase activity [GO:0050321]	8390
8391	ATP binding [GO:0005524]; MAP kinase kinase kinase kinase activity [GO:0008349]; mitogen-activated protein kinase kinase kinase binding [GO:0031435]; protein serine/threonine kinase activity [GO:0004674]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]	8391
8392	alpha-mannosidase activity [GO:0004559]	8392
8393	growth factor activity [GO:0008083]; RNA binding [GO:0003723]; sulfatide binding [GO:0120146]	8393
8394	cytokine binding [GO:0019955]; cytokine receptor activity [GO:0004896]; interferon-gamma receptor activity [GO:0004906]	8394
8395	identical protein binding [GO:0042802]; inositol monophosphate 1-phosphatase activity [GO:0008934]; inositol monophosphate 3-phosphatase activity [GO:0052832]; inositol monophosphate 4-phosphatase activity [GO:0052833]; inositol monophosphate phosphatase activity [GO:0052834]; lithium ion binding [GO:0031403]; magnesium ion binding [GO:0000287]; manganese ion binding [GO:0030145]; protein homodimerization activity [GO:0042803]	8395
8396	GTPase regulator activity [GO:0030695]; histone binding [GO:0042393]; SMAD binding [GO:0046332]; small GTPase binding [GO:0031267]; transporter activity [GO:0005215]	8396
8397	aconitate decarboxylase activity [GO:0047613]	8397
8398	selenium binding [GO:0008430]; thyroxine 5'-deiodinase activity [GO:0004800]; thyroxine 5-deiodinase activity [GO:0033798]; ubiquitin protein ligase binding [GO:0031625]	8398
8399	insulin-like growth factor receptor binding [GO:0005159]; insulin receptor binding [GO:0005158]; phosphatidylinositol 3-kinase binding [GO:0043548]; phosphotyrosine residue binding [GO:0001784]; protein kinase C binding [GO:0005080]; SH2 domain binding [GO:0042169]; signaling receptor complex adaptor activity [GO:0030159]; transmembrane receptor protein tyrosine kinase adaptor activity [GO:0005068]	8399
8400	coreceptor activity [GO:0015026]; extracellular matrix binding [GO:0050840]; extracellular matrix protein binding [GO:1990430]; fibronectin binding [GO:0001968]; integrin binding [GO:0005178]; metal ion binding [GO:0046872]; opsonin binding [GO:0001846]; protease binding [GO:0002020]; protein kinase C binding [GO:0005080]; transforming growth factor beta binding [GO:0050431]; virus receptor activity [GO:0001618]; voltage-gated calcium channel activity [GO:0005245]	8400
8401	integrin binding [GO:0005178]; metal ion binding [GO:0046872]; receptor tyrosine kinase binding [GO:0030971]; signaling receptor activity [GO:0038023]	8401
8402	DNA-binding transcription activator activity [GO:0001216]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific double-stranded DNA binding [GO:1990837]	8402
8403	androgen receptor binding [GO:0050681]; ATP binding [GO:0005524]; calcium channel regulator activity [GO:0005246]; calcium-dependent protein kinase C activity [GO:0004698]; chromatin binding [GO:0003682]; histone binding [GO:0042393]; histone kinase activity (H3-T6 specific) [GO:0035403]; nuclear receptor coactivator activity [GO:0030374]; protein kinase C activity [GO:0004697]; protein kinase C binding [GO:0005080]; protein serine/threonine kinase activity [GO:0004674]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]; zinc ion binding [GO:0008270]	8403
8404	cullin family protein binding [GO:0097602]; identical protein binding [GO:0042802]; protein self-association [GO:0043621]	8404
8405	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; metal ion binding [GO:0046872]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific double-stranded DNA binding [GO:1990837]	8405
8406	cis-regulatory region sequence-specific DNA binding [GO:0000987]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; metal ion binding [GO:0046872]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; transcription cis-regulatory region binding [GO:0000976]	8406
8407	ATP binding [GO:0005524]; calmodulin binding [GO:0005516]; calmodulin-dependent protein kinase activity [GO:0004683]; identical protein binding [GO:0042802]; protein homodimerization activity [GO:0042803]; protein serine/threonine kinase activity [GO:0004674]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]; sodium channel inhibitor activity [GO:0019871]; titin binding [GO:0031432]; transmembrane transporter binding [GO:0044325]	8407
8408	hydrolase activity [GO:0016787]; serine-type endopeptidase activity [GO:0004252]	8408
8409	calmodulin binding [GO:0005516]; protein-containing complex binding [GO:0044877]; transmembrane transporter binding [GO:0044325]; voltage-gated potassium channel activity [GO:0005249]	8409
8410	ATP-activated inward rectifier potassium channel activity [GO:0015272]; ATPase-coupled cation transmembrane transporter activity [GO:0019829]; ATP binding [GO:0005524]; inward rectifier potassium channel activity [GO:0005242]; sulfonylurea receptor binding [GO:0017098]; voltage-gated potassium channel activity involved in ventricular cardiac muscle cell action potential repolarization [GO:1902282]	8410
8411	outward rectifier potassium channel activity [GO:0015271]; potassium channel inhibitor activity [GO:0019870]; potassium ion leak channel activity [GO:0022841]	8411
